epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8318,2.21942,4.8337,2.24589,0.00282,0.83333,0.00638,0.00406,1.05205,4.17014,1.23302,0.00013336,0.00013336,0.00013336
2,44.743,1.34721,3.71581,1.32667,0.00344,1,0.33407,0.27149,0.69362,3.59234,0.82909,0.000274038,0.000274038,0.000274038
3,66.4462,1.28318,2.78204,1.13837,0.00347,1,0.35442,0.25228,0.87137,3.50946,0.89455,0.000404814,0.000404814,0.000404814
4,88.9155,1.20224,2.57251,1.13138,0.00349,1,0.41678,0.37049,0.74097,3.43418,0.86186,0.000525688,0.000525688,0.000525688
5,110.91,1.19261,2.24181,1.10177,0.00342,1,0.3646,0.304,0.81965,3.33647,0.84661,0.000636661,0.000636661,0.000636661
6,131.717,1.09558,2.20751,1.06795,0.00354,1,0.30611,0.21355,0.80266,3.58502,0.92938,0.000737731,0.000737731,0.000737731
7,152.26,1.07793,1.98072,1.07483,0.00352,1,0.62723,0.45614,0.8847,3.34555,0.90265,0.000828899,0.000828899,0.000828899
8,173.564,1.0535,1.79247,1.07819,0.0035,1,0.42385,0.32706,0.78584,3.4082,0.94168,0.000910165,0.000910165,0.000910165
9,194.229,1.01789,1.63002,1.06397,0.33139,0.58333,0.59767,0.47906,0.62577,3.03915,0.9253,0.00098153,0.00098153,0.00098153
10,214.587,0.97456,1.50553,1.04167,0.90619,0.73696,0.945,0.72274,0.81567,2.52451,0.9721,0.00104299,0.00104299,0.00104299
11,235.365,1.02305,1.42185,1.05769,0.63062,0.875,0.73931,0.59282,0.75928,2.18251,0.98338,0.00109455,0.00109455,0.00109455
12,256.473,0.938,1.34935,1.0354,0.96892,0.96652,0.995,0.74428,0.90315,1.81243,1.0856,0.00106188,0.00106188,0.00106188
13,277.201,0.91716,1.31841,1.00111,0.97542,1,0.995,0.78352,0.89531,1.75592,1.12123,0.00100687,0.00100687,0.00100687
14,297.234,0.87316,1.26541,1.00508,0.92108,0.99549,0.995,0.78618,0.91001,1.68675,1.25014,0.000951857,0.000951857,0.000951857
15,315.903,0.8895,1.20531,1.02076,0.954,1,0.995,0.80868,0.80189,1.32758,1.0872,0.000896846,0.000896846,0.000896846
16,335.683,0.78896,1.07023,0.97798,0.97543,1,0.995,0.82953,0.8358,1.14458,1.09888,0.000841835,0.000841835,0.000841835
17,356.395,0.83758,1.16417,1.00263,0.98133,1,0.995,0.81585,0.76421,1.14593,1.04378,0.000786824,0.000786824,0.000786824
18,386.184,0.83286,1.10114,1.00303,0.97268,1,0.995,0.81661,0.73447,1.06924,1.05329,0.000731813,0.000731813,0.000731813
19,415.308,0.77057,1.07569,0.97982,0.98539,1,0.995,0.825,0.81188,1.05088,1.14202,0.000676802,0.000676802,0.000676802
20,445.411,0.71001,1.00696,0.96403,0.98523,1,0.995,0.825,0.8173,0.9463,1.11419,0.000621791,0.000621791,0.000621791
21,478.557,0.6616,1.2531,0.93897,0.98296,1,0.995,0.76316,0.94281,0.98781,1.20955,0.00056678,0.00056678,0.00056678
22,506.387,0.66809,1.32401,0.90898,0.98699,1,0.995,0.82702,0.81505,1.03517,1.07772,0.000511769,0.000511769,0.000511769
23,533.856,0.66298,1.26327,0.93828,0.96849,1,0.995,0.80197,0.76706,0.9221,1.03948,0.000456758,0.000456758,0.000456758
24,561.48,0.64909,1.19495,0.94238,0.98154,1,0.995,0.81253,0.75718,0.79879,1.01945,0.000401747,0.000401747,0.000401747
25,589.085,0.60816,1.07967,0.87605,0.98179,1,0.995,0.8084,0.68562,0.82203,1.00759,0.000346736,0.000346736,0.000346736
26,617.079,0.63177,1.10714,0.92437,0.98239,1,0.995,0.82396,0.67955,0.79741,1.00931,0.000291725,0.000291725,0.000291725
27,645.045,0.56918,1.10248,0.89053,0.97668,1,0.995,0.8301,0.72278,0.80079,1.033,0.000236714,0.000236714,0.000236714
28,672.884,0.57324,1.0788,0.91808,0.97689,1,0.995,0.84048,0.68372,0.76955,1.00978,0.000181703,0.000181703,0.000181703
29,702.672,0.60532,1.02416,0.89692,0.97562,1,0.995,0.82806,0.67265,0.74943,0.99368,0.000126692,0.000126692,0.000126692
30,729.55,0.55798,1.01845,0.88631,0.97376,1,0.995,0.82806,0.67311,0.75344,0.98868,7.1681e-05,7.1681e-05,7.1681e-05
